yr,cls,tech,tech_shr_of_vmt,tech_shr_of_trk,tech_shr_of_vmt_v7,tech_shr_of_trk_v7
2007,78Day,adv_conv,0,0,0,0
2007,78Day,bev,0,0,0,0
2007,78Day,conventional_diesel_ice,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002
2007,78Day,fcev,0,0,0,0
2007,78Day,hev,0,0,0,0
2007,78Day,na,0,0,0,0
2007,78Sleep,adv_conv,0,0,0,0
2007,78Sleep,bev,0,0,0,0
2007,78Sleep,conventional_diesel_ice,1.0000000000000002,0.9999999999999998,1.0000000000000002,0.9999999999999998
2007,78Sleep,fcev,0,0,0,0
2007,78Sleep,hev,0,0,0,0
2007,78Sleep,na,0,0,0,0
2007,78SU,adv_conv,0,0,0,0
2007,78SU,bev,0,0,0,0
2007,78SU,conventional_diesel_ice,0.9999999999999999,1,0.9999999999999999,1
2007,78SU,fcev,0,0,0,0
2007,78SU,hev,0,0,0,0
2007,78SU,na,0,0,0,0
2008,78Day,adv_conv,0,0,0,0
2008,78Day,bev,0,0,0,0
2008,78Day,conventional_diesel_ice,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002
2008,78Day,fcev,0,0,0,0
2008,78Day,hev,0,0,0,0
2008,78Day,na,0,0,0,0
2008,78Sleep,adv_conv,0,0,0,0
2008,78Sleep,bev,0,0,0,0
2008,78Sleep,conventional_diesel_ice,1.0000000000000002,0.9999999999999998,1.0000000000000002,0.9999999999999998
2008,78Sleep,fcev,0,0,0,0
2008,78Sleep,hev,0,0,0,0
2008,78Sleep,na,0,0,0,0
2008,78SU,adv_conv,0,0,0,0
2008,78SU,bev,0,0,0,0
2008,78SU,conventional_diesel_ice,0.9999999999999999,1,0.9999999999999999,1
2008,78SU,fcev,0,0,0,0
2008,78SU,hev,0,0,0,0
2008,78SU,na,0,0,0,0
2009,78Day,adv_conv,0,0,0,0
2009,78Day,bev,0,0,0,0
2009,78Day,conventional_diesel_ice,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002
2009,78Day,fcev,0,0,0,0
2009,78Day,hev,0,0,0,0
2009,78Day,na,0,0,0,0
2009,78Sleep,adv_conv,0,0,0,0
2009,78Sleep,bev,0,0,0,0
2009,78Sleep,conventional_diesel_ice,1.0000000000000002,0.9999999999999998,1.0000000000000002,0.9999999999999998
2009,78Sleep,fcev,0,0,0,0
2009,78Sleep,hev,0,0,0,0
2009,78Sleep,na,0,0,0,0
2009,78SU,adv_conv,0,0,0,0
2009,78SU,bev,0,0,0,0
2009,78SU,conventional_diesel_ice,0.9999999999999999,1,0.9999999999999999,1
2009,78SU,fcev,0,0,0,0
2009,78SU,hev,0,0,0,0
2009,78SU,na,0,0,0,0
2010,78Day,adv_conv,0,0,0,0
2010,78Day,bev,0,0,0,0
2010,78Day,conventional_diesel_ice,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002
2010,78Day,fcev,0,0,0,0
2010,78Day,hev,0,0,0,0
2010,78Day,na,0,0,0,0
2010,78Sleep,adv_conv,0,0,0,0
2010,78Sleep,bev,0,0,0,0
2010,78Sleep,conventional_diesel_ice,1.0000000000000002,0.9999999999999998,1.0000000000000002,0.9999999999999998
2010,78Sleep,fcev,0,0,0,0
2010,78Sleep,hev,0,0,0,0
2010,78Sleep,na,0,0,0,0
2010,78SU,adv_conv,0,0,0,0
2010,78SU,bev,0,0,0,0
2010,78SU,conventional_diesel_ice,0.9999999999999999,1,0.9999999999999999,1
2010,78SU,fcev,0,0,0,0
2010,78SU,hev,0,0,0,0
2010,78SU,na,0,0,0,0
2011,78Day,adv_conv,0,0,0,0
2011,78Day,bev,0,0,0,0
2011,78Day,conventional_diesel_ice,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002
2011,78Day,fcev,0,0,0,0
2011,78Day,hev,0,0,0,0
2011,78Day,na,0,0,0,0
2011,78Sleep,adv_conv,0,0,0,0
2011,78Sleep,bev,0,0,0,0
2011,78Sleep,conventional_diesel_ice,1.0000000000000002,0.9999999999999998,1.0000000000000002,0.9999999999999998
2011,78Sleep,fcev,0,0,0,0
2011,78Sleep,hev,0,0,0,0
2011,78Sleep,na,0,0,0,0
2011,78SU,adv_conv,0,0,0,0
2011,78SU,bev,0,0,0,0
2011,78SU,conventional_diesel_ice,0.9999999999999999,1,0.9999999999999999,1
2011,78SU,fcev,0,0,0,0
2011,78SU,hev,0,0,0,0
2011,78SU,na,0,0,0,0
2012,78Day,adv_conv,0,0,0,0
2012,78Day,bev,0,0,0,0
2012,78Day,conventional_diesel_ice,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002
2012,78Day,fcev,0,0,0,0
2012,78Day,hev,0,0,0,0
2012,78Day,na,0,0,0,0
2012,78Sleep,adv_conv,0,0,0,0
2012,78Sleep,bev,0,0,0,0
2012,78Sleep,conventional_diesel_ice,1.0000000000000002,0.9999999999999998,1.0000000000000002,0.9999999999999998
2012,78Sleep,fcev,0,0,0,0
2012,78Sleep,hev,0,0,0,0
2012,78Sleep,na,0,0,0,0
2012,78SU,adv_conv,0,0,0,0
2012,78SU,bev,0,0,0,0
2012,78SU,conventional_diesel_ice,0.9999999999999999,1,0.9999999999999999,1
2012,78SU,fcev,0,0,0,0
2012,78SU,hev,0,0,0,0
2012,78SU,na,0,0,0,0
2013,78Day,adv_conv,0,0,0,0
2013,78Day,bev,0,0,0,0
2013,78Day,conventional_diesel_ice,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002
2013,78Day,fcev,0,0,0,0
2013,78Day,hev,0,0,0,0
2013,78Day,na,0,0,0,0
2013,78Sleep,adv_conv,0,0,0,0
2013,78Sleep,bev,0,0,0,0
2013,78Sleep,conventional_diesel_ice,1.0000000000000002,0.9999999999999998,1.0000000000000002,0.9999999999999998
2013,78Sleep,fcev,0,0,0,0
2013,78Sleep,hev,0,0,0,0
2013,78Sleep,na,0,0,0,0
2013,78SU,adv_conv,0,0,0,0
2013,78SU,bev,0,0,0,0
2013,78SU,conventional_diesel_ice,0.9999999999999999,1,0.9999999999999999,1
2013,78SU,fcev,0,0,0,0
2013,78SU,hev,0,0,0,0
2013,78SU,na,0,0,0,0
2014,78Day,adv_conv,0,0,0,0
2014,78Day,bev,0,0,0,0
2014,78Day,conventional_diesel_ice,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002
2014,78Day,fcev,0,0,0,0
2014,78Day,hev,0,0,0,0
2014,78Day,na,0,0,0,0
2014,78Sleep,adv_conv,0,0,0,0
2014,78Sleep,bev,0,0,0,0
2014,78Sleep,conventional_diesel_ice,1.0000000000000002,0.9999999999999998,1.0000000000000002,0.9999999999999998
2014,78Sleep,fcev,0,0,0,0
2014,78Sleep,hev,0,0,0,0
2014,78Sleep,na,0,0,0,0
2014,78SU,adv_conv,0,0,0,0
2014,78SU,bev,0,0,0,0
2014,78SU,conventional_diesel_ice,0.9999999999999999,1,0.9999999999999999,1
2014,78SU,fcev,0,0,0,0
2014,78SU,hev,0,0,0,0
2014,78SU,na,0,0,0,0
2015,78Day,adv_conv,0,0,0,0
2015,78Day,bev,0,0,0,0
2015,78Day,conventional_diesel_ice,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002
2015,78Day,fcev,0,0,0,0
2015,78Day,hev,0,0,0,0
2015,78Day,na,0,0,0,0
2015,78Sleep,adv_conv,0,0,0,0
2015,78Sleep,bev,0,0,0,0
2015,78Sleep,conventional_diesel_ice,1.0000000000000002,0.9999999999999998,1.0000000000000002,0.9999999999999998
2015,78Sleep,fcev,0,0,0,0
2015,78Sleep,hev,0,0,0,0
2015,78Sleep,na,0,0,0,0
2015,78SU,adv_conv,0,0,0,0
2015,78SU,bev,0,0,0,0
2015,78SU,conventional_diesel_ice,0.9999999999999999,1,0.9999999999999999,1
2015,78SU,fcev,0,0,0,0
2015,78SU,hev,0,0,0,0
2015,78SU,na,0,0,0,0
2016,78Day,adv_conv,0,0,0,0
2016,78Day,bev,0,0,0,0
2016,78Day,conventional_diesel_ice,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002
2016,78Day,fcev,0,0,0,0
2016,78Day,hev,0,0,0,0
2016,78Day,na,0,0,0,0
2016,78Sleep,adv_conv,0,0,0,0
2016,78Sleep,bev,0,0,0,0
2016,78Sleep,conventional_diesel_ice,1.0000000000000002,0.9999999999999998,1.0000000000000002,0.9999999999999998
2016,78Sleep,fcev,0,0,0,0
2016,78Sleep,hev,0,0,0,0
2016,78Sleep,na,0,0,0,0
2016,78SU,adv_conv,0,0,0,0
2016,78SU,bev,0,0,0,0
2016,78SU,conventional_diesel_ice,0.9999999999999999,1,0.9999999999999999,1
2016,78SU,fcev,0,0,0,0
2016,78SU,hev,0,0,0,0
2016,78SU,na,0,0,0,0
2017,78Day,adv_conv,0,0,0,0
2017,78Day,bev,0,0,0,0
2017,78Day,conventional_diesel_ice,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002
2017,78Day,fcev,0,0,0,0
2017,78Day,hev,0,0,0,0
2017,78Day,na,0,0,0,0
2017,78Sleep,adv_conv,0,0,0,0
2017,78Sleep,bev,0,0,0,0
2017,78Sleep,conventional_diesel_ice,1.0000000000000002,0.9999999999999998,1.0000000000000002,0.9999999999999998
2017,78Sleep,fcev,0,0,0,0
2017,78Sleep,hev,0,0,0,0
2017,78Sleep,na,0,0,0,0
2017,78SU,adv_conv,0,0,0,0
2017,78SU,bev,0,0,0,0
2017,78SU,conventional_diesel_ice,0.9999999999999999,1,0.9999999999999999,1
2017,78SU,fcev,0,0,0,0
2017,78SU,hev,0,0,0,0
2017,78SU,na,0,0,0,0
2018,78Day,adv_conv,0,0,0,0
2018,78Day,bev,0,0,0,0
2018,78Day,conventional_diesel_ice,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002
2018,78Day,fcev,0,0,0,0
2018,78Day,hev,0,0,0,0
2018,78Day,na,0,0,0,0
2018,78Sleep,adv_conv,0,0,0,0
2018,78Sleep,bev,0,0,0,0
2018,78Sleep,conventional_diesel_ice,1.0000000000000002,0.9999999999999998,1.0000000000000002,0.9999999999999998
2018,78Sleep,fcev,0,0,0,0
2018,78Sleep,hev,0,0,0,0
2018,78Sleep,na,0,0,0,0
2018,78SU,adv_conv,0,0,0,0
2018,78SU,bev,0,0,0,0
2018,78SU,conventional_diesel_ice,0.9999999999999999,1,0.9999999999999999,1
2018,78SU,fcev,0,0,0,0
2018,78SU,hev,0,0,0,0
2018,78SU,na,0,0,0,0
2019,78Day,adv_conv,0,0,0,0
2019,78Day,bev,0,0,0,0
2019,78Day,conventional_diesel_ice,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002
2019,78Day,fcev,0,0,0,0
2019,78Day,hev,0,0,0,0
2019,78Day,na,0,0,0,0
2019,78Sleep,adv_conv,0,0,0,0
2019,78Sleep,bev,0,0,0,0
2019,78Sleep,conventional_diesel_ice,1.0000000000000002,0.9999999999999998,1.0000000000000002,0.9999999999999998
2019,78Sleep,fcev,0,0,0,0
2019,78Sleep,hev,0,0,0,0
2019,78Sleep,na,0,0,0,0
2019,78SU,adv_conv,0,0,0,0
2019,78SU,bev,0,0,0,0
2019,78SU,conventional_diesel_ice,0.9999999999999999,1,0.9999999999999999,1
2019,78SU,fcev,0,0,0,0
2019,78SU,hev,0,0,0,0
2019,78SU,na,0,0,0,0
2020,78Day,adv_conv,0,0,0,0
2020,78Day,bev,0,0,0,0
2020,78Day,conventional_diesel_ice,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002
2020,78Day,fcev,0,0,0,0
2020,78Day,hev,0,0,0,0
2020,78Day,na,0,0,0,0
2020,78Sleep,adv_conv,0,0,0,0
2020,78Sleep,bev,0,0,0,0
2020,78Sleep,conventional_diesel_ice,1.0000000000000002,0.9999999999999998,1.0000000000000002,0.9999999999999998
2020,78Sleep,fcev,0,0,0,0
2020,78Sleep,hev,0,0,0,0
2020,78Sleep,na,0,0,0,0
2020,78SU,adv_conv,0,0,0,0
2020,78SU,bev,0,0,0,0
2020,78SU,conventional_diesel_ice,0.9999999999999999,1,0.9999999999999999,1
2020,78SU,fcev,0,0,0,0
2020,78SU,hev,0,0,0,0
2020,78SU,na,0,0,0,0
2021,78Day,adv_conv,0,0,0,0
2021,78Day,bev,0,0,0,0
2021,78Day,conventional_diesel_ice,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002
2021,78Day,fcev,0,0,0,0
2021,78Day,hev,0,0,0,0
2021,78Day,na,0,0,0,0
2021,78Sleep,adv_conv,0,0,0,0
2021,78Sleep,bev,0,0,0,0
2021,78Sleep,conventional_diesel_ice,1.0000000000000002,0.9999999999999998,1.0000000000000002,0.9999999999999998
2021,78Sleep,fcev,0,0,0,0
2021,78Sleep,hev,0,0,0,0
2021,78Sleep,na,0,0,0,0
2021,78SU,adv_conv,0,0,0,0
2021,78SU,bev,0,0,0,0
2021,78SU,conventional_diesel_ice,0.9999999999999999,1,0.9999999999999999,1
2021,78SU,fcev,0,0,0,0
2021,78SU,hev,0,0,0,0
2021,78SU,na,0,0,0,0
2022,78Day,adv_conv,0,0,0,0
2022,78Day,bev,0,0,0,0
2022,78Day,conventional_diesel_ice,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002
2022,78Day,fcev,0,0,0,0
2022,78Day,hev,0,0,0,0
2022,78Day,na,0,0,0,0
2022,78Sleep,adv_conv,0,0,0,0
2022,78Sleep,bev,0,0,0,0
2022,78Sleep,conventional_diesel_ice,1.0000000000000002,0.9999999999999998,1.0000000000000002,0.9999999999999998
2022,78Sleep,fcev,0,0,0,0
2022,78Sleep,hev,0,0,0,0
2022,78Sleep,na,0,0,0,0
2022,78SU,adv_conv,0,0,0,0
2022,78SU,bev,0,0,0,0
2022,78SU,conventional_diesel_ice,0.9999999999999999,1,0.9999999999999999,1
2022,78SU,fcev,0,0,0,0
2022,78SU,hev,0,0,0,0
2022,78SU,na,0,0,0,0
2023,78Day,adv_conv,0,0,0,0
2023,78Day,bev,0,0,0,0
2023,78Day,conventional_diesel_ice,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002
2023,78Day,fcev,0,0,0,0
2023,78Day,hev,0,0,0,0
2023,78Day,na,0,0,0,0
2023,78Sleep,adv_conv,0,0,0,0
2023,78Sleep,bev,0,0,0,0
2023,78Sleep,conventional_diesel_ice,1.0000000000000002,0.9999999999999998,1.0000000000000002,0.9999999999999998
2023,78Sleep,fcev,0,0,0,0
2023,78Sleep,hev,0,0,0,0
2023,78Sleep,na,0,0,0,0
2023,78SU,adv_conv,0,0,0,0
2023,78SU,bev,0,0,0,0
2023,78SU,conventional_diesel_ice,0.9999999999999999,1,0.9999999999999999,1
2023,78SU,fcev,0,0,0,0
2023,78SU,hev,0,0,0,0
2023,78SU,na,0,0,0,0
2024,78Day,adv_conv,0,0,0,0
2024,78Day,bev,0,0,0,0
2024,78Day,conventional_diesel_ice,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002
2024,78Day,fcev,0,0,0,0
